Season,W/L%,SRS,Rel ORtg,Rel DRtg,cluster
2022-23,0.402,-3.96,0.0,4.0,1
2021-22,0.329,-8.55,-4.2,4.9,1
2020-21,0.583,1.81,5.5,3.7,0
2019-20,0.473,-0.61,3.1,4.2,0
2018-19,0.646,4.43,4.3,0.1,0
2017-18,0.598,2.6,0.5,-2.2,0
2016-17,0.5,-0.23,1.5,2.0,0
2015-16,0.537,0.98,2.4,1.6,0
2014-15,0.622,4.41,2.6,-1.9,0
2013-14,0.659,4.44,4.8,0.7,0
2012-13,0.402,-2.53,-0.1,3.3,1
2011-12,0.424,-0.22,1.1,1.8,0
2010-11,0.585,1.85,1.5,-0.2,0
2009-10,0.61,3.18,3.2,-0.5,0
2008-09,0.659,5.0,5.6,-0.5,0
2007-08,0.5,-0.52,-0.2,0.9,0
2006-07,0.39,-3.78,-1.4,3.4,1
2005-06,0.256,-8.91,-5.1,5.7,1
2004-05,0.329,-3.45,-2.9,1.6,1
2003-04,0.5,-0.58,0.8,2.2,0
2002-03,0.61,2.97,1.9,-1.0,0
2001-02,0.598,3.21,2.9,-0.5,0
2000-01,0.61,4.52,3.5,-1.2,0
1999-00,0.72,6.36,3.8,-3.3,0
1998-99,0.7,5.67,2.6,-4.5,0
1997-98,0.561,0.83,-1.0,-2.6,0
1996-97,0.598,3.56,1.2,-3.4,0
1995-96,0.537,2.21,-1.6,-4.1,0
1994-95,0.537,3.8,1.4,-2.6,0
1993-94,0.573,2.6,1.8,-0.8,0
1992-93,0.622,2.92,0.3,-2.8,0
1991-92,0.695,6.94,3.2,-4.0,0
1990-91,0.768,8.47,4.9,-3.6,0
1989-90,0.72,6.48,2.4,-3.7,0
1988-89,0.476,0.92,1.6,0.2,0
1987-88,0.646,3.59,3.8,-0.6,0
1986-87,0.598,2.57,3.2,0.3,0
1985-86,0.488,0.61,2.0,1.0,0
1984-85,0.512,2.8,2.5,-0.7,0
1983-84,0.585,3.13,3.6,0.1,0
1982-83,0.561,1.88,1.3,-0.8,0
1981-82,0.512,0.39,1.9,1.3,0
1980-81,0.549,0.52,1.0,0.2,0
1979-80,0.463,-0.87,-1.9,-1.0,0
1978-79,0.549,1.12,0.5,-0.7,0
1977-78,0.707,5.92,2.2,-3.7,0
1976-77,0.598,5.39,3.7,-1.5,0
1975-76,0.451,-1.11,-1.9,-0.7,0
1974-75,0.463,0.27,0.4,0.0,0
1973-74,0.329,-4.3,0.5,4.9,1
1972-73,0.256,-5.67,-0.9,4.7,1
1971-72,0.22,-8.84,-3.4,5.2,1
1970-71,0.354,-6.2,-1.8,1.9,1
